liens,name,wins,picks,bans
https://www.op.gg//champions/aatrox/top?region=global&tier=silver,Aatrox,48.03%,3.85%,4.95%
https://www.op.gg//champions/akali/top?region=global&tier=silver,Akali,46.62%,2.31%,2.89%
https://www.op.gg//champions/akshan/top?region=global&tier=silver,Akshan,50.67%,0.63%,0.48%
https://www.op.gg//champions/aurelionsol/top?region=global&tier=silver,Aurelion Sol,51.82%,1.71%,4.06%
https://www.op.gg//champions/camille/top?region=global&tier=silver,Camille,50.01%,3.57%,1.41%
https://www.op.gg//champions/chogath/top?region=global&tier=silver,Cho'Gath,50.73%,1.95%,0.43%
https://www.op.gg//champions/darius/top?region=global&tier=silver,Darius,50.14%,9.19%,24.63%
https://www.op.gg//champions/drmundo/top?region=global&tier=silver,Dr. Mundo,53.58%,3.94%,5.69%
https://www.op.gg//champions/fiora/top?region=global&tier=silver,Fiora,50.66%,5.91%,11.50%
https://www.op.gg//champions/gangplank/top?region=global&tier=silver,Gangplank,50.03%,7.78%,8.42%
https://www.op.gg//champions/garen/top?region=global&tier=silver,Garen,52.05%,7.23%,2.94%
https://www.op.gg//champions/gnar/top?region=global&tier=silver,Gnar,48.51%,2.71%,0.45%
https://www.op.gg//champions/gragas/top?region=global&tier=silver,Gragas,46.30%,1.31%,0.16%
https://www.op.gg//champions/gwen/top?region=global&tier=silver,Gwen,48.94%,2.29%,0.76%
https://www.op.gg//champions/heimerdinger/top?region=global&tier=silver,Heimerdinger,50.89%,0.70%,0.79%
https://www.op.gg//champions/illaoi/top?region=global&tier=silver,Illaoi,52.41%,6.88%,12.66%
https://www.op.gg//champions/irelia/top?region=global&tier=silver,Irelia,50.24%,4.78%,9.60%
https://www.op.gg//champions/jax/top?region=global&tier=silver,Jax,51.41%,10.86%,16.69%
https://www.op.gg//champions/jayce/top?region=global&tier=silver,Jayce,49.61%,4.75%,1.71%
https://www.op.gg//champions/ksante/top?region=global&tier=silver,K'Sante,42.36%,2.64%,5.13%
https://www.op.gg//champions/kayle/top?region=global&tier=silver,Kayle,52.06%,3.35%,0.65%
https://www.op.gg//champions/kennen/top?region=global&tier=silver,Kennen,46.88%,1.04%,0.24%
https://www.op.gg//champions/kled/top?region=global&tier=silver,Kled,52.97%,2.25%,1.23%
https://www.op.gg//champions/malphite/top?region=global&tier=silver,Malphite,50.66%,4.13%,1.70%
https://www.op.gg//champions/mordekaiser/top?region=global&tier=silver,Mordekaiser,52.78%,7.14%,12.62%
https://www.op.gg//champions/nasus/top?region=global&tier=silver,Nasus,53.23%,6.19%,4.96%
https://www.op.gg//champions/olaf/top?region=global&tier=silver,Olaf,52.04%,3.14%,2.16%
https://www.op.gg//champions/ornn/top?region=global&tier=silver,Ornn,51.71%,3.17%,0.49%
https://www.op.gg//champions/pantheon/top?region=global&tier=silver,Pantheon,49.33%,2.44%,0.55%
https://www.op.gg//champions/poppy/top?region=global&tier=silver,Poppy,48.46%,1.16%,0.28%
https://www.op.gg//champions/quinn/top?region=global&tier=silver,Quinn,51.17%,1.50%,0.76%
https://www.op.gg//champions/renekton/top?region=global&tier=silver,Renekton,48.28%,4.12%,1.77%
https://www.op.gg//champions/rengar/top?region=global&tier=silver,Rengar,50.72%,1.29%,0.62%
https://www.op.gg//champions/riven/top?region=global&tier=silver,Riven,47.80%,2.66%,0.42%
https://www.op.gg//champions/rumble/top?region=global&tier=silver,Rumble,46.53%,1.19%,0.23%
https://www.op.gg//champions/ryze/top?region=global&tier=silver,Ryze,48.70%,0.77%,0.16%
https://www.op.gg//champions/sejuani/top?region=global&tier=silver,Sejuani,50.32%,0.68%,0.15%
https://www.op.gg//champions/sett/top?region=global&tier=silver,Sett,51.55%,8.16%,4.32%
https://www.op.gg//champions/shen/top?region=global&tier=silver,Shen,51.75%,3.98%,0.63%
https://www.op.gg//champions/singed/top?region=global&tier=silver,Singed,52.40%,1.48%,0.26%
https://www.op.gg//champions/sion/top?region=global&tier=silver,Sion,52.22%,4.79%,1.18%
https://www.op.gg//champions/tahmkench/top?region=global&tier=silver,Tahm Kench,50.72%,2.05%,0.72%
https://www.op.gg//champions/teemo/top?region=global&tier=silver,Teemo,50.57%,5.19%,7.08%
https://www.op.gg//champions/trundle/top?region=global&tier=silver,Trundle,48.81%,0.62%,0.21%
https://www.op.gg//champions/tryndamere/top?region=global&tier=silver,Tryndamere,49.12%,2.58%,2.14%
https://www.op.gg//champions/udyr/top?region=global&tier=silver,Udyr,51.16%,0.76%,1.69%
https://www.op.gg//champions/urgot/top?region=global&tier=silver,Urgot,51.81%,3.33%,1.29%
https://www.op.gg//champions/vayne/top?region=global&tier=silver,Vayne,49.94%,1.46%,0.87%
https://www.op.gg//champions/vladimir/top?region=global&tier=silver,Vladimir,49.14%,0.96%,0.66%
https://www.op.gg//champions/volibear/top?region=global&tier=silver,Volibear,48.82%,1.81%,0.49%
https://www.op.gg//champions/warwick/top?region=global&tier=silver,Warwick,51.06%,2.15%,2.04%
https://www.op.gg//champions/monkeyking/top?region=global&tier=silver,Wukong,51.81%,1.05%,0.20%
https://www.op.gg//champions/yasuo/top?region=global&tier=silver,Yasuo,48.47%,2.29%,3.17%
https://www.op.gg//champions/yone/top?region=global&tier=silver,Yone,48.83%,3.50%,3.13%
https://www.op.gg//champions/yorick/top?region=global&tier=silver,Yorick,53.50%,6.78%,6.90%
https://www.op.gg//champions/zac/top?region=global&tier=silver,Zac,53.01%,1.04%,1.39%
